ItinID,Origin,Dest,TkCarrier,Pax,Coupons,Avg_Fare
2013193413,JFK,LAX,99,1,2,280
2013193414,JFK,LAX,99,1,2,280.6
2013195246,JFK,LAX,99,1,3,175.1
2013195609,JFK,LAX,99,1,2,230
2013195610,JFK,LAX,99,1,2,318
20131337348,JFK,LAX,99,1,3,1374
20131338601,JFK,LAX,99,1,2,121.3
20131340082,JFK,LAX,99,1,2,181.2
20131340090,JFK,LAX,99,1,2,171.4
20131340095,JFK,LAX,99,1,2,212.8
20131340096,JFK,LAX,99,1,2,216.1
20131340097,JFK,LAX,99,1,2,216.6
20131340105,JFK,LAX,99,1,2,305.1
20131340112,JFK,LAX,99,1,2,436.9
20131345934,JFK,LAX,99,1,5,654
20131346645,JFK,LAX,99,1,4,1612
20131347086,JFK,LAX,99,1,4,394
20131349398,JFK,LAX,99,1,3,660
20131349484,JFK,LAX,99,1,2,92.1
20131350228,JFK,LAX,99,1,2,163.5
20131350230,JFK,LAX,99,1,2,172
20131350231,JFK,LAX,99,1,2,179.4
20131350233,JFK,LAX,99,1,2,181.4
20131350235,JFK,LAX,99,1,2,185.9
20131350241,JFK,LAX,99,1,2,198.8
20131350242,JFK,LAX,99,1,2,202.3
20131350248,JFK,LAX,99,1,2,219.4
20131350250,JFK,LAX,99,1,2,222.7
20131350251,JFK,LAX,99,1,2,223.2
20131350256,JFK,LAX,99,1,2,263.4
20131350259,JFK,LAX,99,1,2,315.6
20131350260,JFK,LAX,99,1,2,331.5
20131350261,JFK,LAX,99,1,2,343.5
20131350263,JFK,LAX,99,1,2,352.4
20131350264,JFK,LAX,99,1,2,362.4
20131350270,JFK,LAX,99,1,2,891.2
20131350271,JFK,LAX,99,1,2,926.5
20131350272,JFK,LAX,99,1,2,1181
20131350273,JFK,LAX,99,1,2,1389.3
20131350274,JFK,LAX,99,1,2,223.8
20131350283,JFK,LAX,99,1,2,328.3
20131350932,JFK,LAX,99,1,2,207.2
20131350936,JFK,LAX,99,1,2,1156.4
20131350937,JFK,LAX,99,1,2,1316.6
20131351982,JFK,LAX,99,1,3,359
20131352019,JFK,LAX,99,1,2,659
20131352023,JFK,LAX,99,1,2,2460
20131352161,JFK,LAX,99,1,3,304.8
20131368287,JFK,LAX,99,1,3,482.9
20131374839,JFK,LAX,99,1,2,130.4
